icon,Collection,Date,Description,Place,Title,latitude,longitude,url
small_blue,,1921,"Asher Pomerantz in front of store on Kramer St, NE, 1921.  Family lived behind store.","Kramer St, NE",,38.8976399,-76.9798208,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=6B8A33DF-22BB-49B2-BF5E-219301176789;type=102
small_blue,,,"Samuel and Rosa Madeoy in their second-and furniture store at 600 H Street, NE.","600 H Street, NE",,38.9002145,-76.9984461,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=7A68C254-7B97-46D5-9E2A-217340996450;type=102
small_blue,,1953,"Isadore Gimble inside Congress Food Market at 5th and E. Capitol Street, NE, with Yiddish newspaper the Jewish Daily Forward.","5th St NE and E. Capitol Street, NE",,38.8898073,-76.9995071,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=1CB6B6C1-B0B7-43A8-841C-545322863881;type=102
small_blue,Hais Family Collection,1942,"Sidney Hais in uniform standing in front of DGS Market at 7th and C Street, NE, with mother Ida Flax Hais and another woman","7th St NE and C Street, NE",,38.893577,-76.996168,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=27B96EDC-247C-4ACC-AA8C-113619169084;type=102
small_blue,,1930s,"Man standing outside Gilbert&#8217;s bicycle shop at 1370 H Street, NE","1370 H Street, NE",,38.9003907,-76.9859447,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=C6506737-9E68-4B55-BD58-278911158496;type=102
small_blue,,,"Home and business of Benjamin and Sadie Dekelbaum and family at 14th & D Streets, NE, 1931-1945.  Building has a Coca-Cola advertisement painted on the front and a &#8221;Nation-Wide Service Grocers&#8221; sign over the front window.","14th st NE & D Streets, NE",,38.8947822,-76.9855034,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=7BA03F32-11F9-45A1-A5D4-186454148320;type=102
small_blue,,,"4x6 print of Florio&#8217;s barbershop at 1000 block of H Street NE.  Benjamin Dekelbaum is in chair nearest window.  Paul - Florio&#8217;s son-is standing closes to camera and attended Eastern.  Joseph Gilbert remembers the &#8221;Jewish&#8221; was owned by a man named Reuben - he was matchmaker, always trying to fix you up with a nice girl; so the boys went to Florio&#8217;s instead.",1000 block of H Street NE,,38.9003992,-76.9924619,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=7212F9D1-274B-41B5-B56D-766920939898;type=102
small_blue,,12/12/1947,"Stanley Freedman standing outside the grocery store at 653 Eighth Street, NE, that he ran with his father, Samuel Freedman.  December 12, 1947","653 Eighth Street, NE",,38.898721,-76.994943,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=9E657E8D-94E9-462B-86A7-112401661272;type=102
grocery,Giant Food Collection,,"8x10 black & white print showing Emanuel Cohen in produce section of store #2 at 845 Bladensburg Road, NE, holding apples and talking with another employee, Clarkson Gemmil.","845 Bladensburg Road, NE",Giant Food store #2,38.9012713,-76.9820757,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=727DE844-3813-4546-95C7-061126696571;type=102
grocery,Naomi and Nehemiah Cohen Foundation,6/23/1946,"Exterior of Giant store # 9 located at 3924 Minnesota Ave., NE, Washington DC. Taken approximately seven months after the store&#8217;s 11/14/1945 opening, this photograph shows the building&#8217;s facade and a portion of one side.","3924 Minnesota Ave., NE, Washington, DC","Giant Store # 9 Exterior, 1946",38.8939592,-76.9514113,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=F902398D-A3D9-41AE-A0E6-199101563400;type=102
